Lead,x1,Code,x2,Name,x3,Short description,x4,Source of tag,x5,Note,Trail
{ 48258,", new TiffTagInfo {IdInteger =",48258,", IdString = """,WidthResolution,""", ShortDescription = """,Specifies the horizontal resolution of a transformed image expressed in pixels per inch.,""" , SourceOfTag = "" ","HD Photo Feature Spec, p. 21",""" , Note = """, ,""" } },"
{ 48259,", new TiffTagInfo {IdInteger =",48259,", IdString = """,HeightResolution,""", ShortDescription = """,Specifies the vertical resolution of a transformed image expressed in pixels per inch.,""" , SourceOfTag = "" ","HD Photo Feature Spec, p. 21",""" , Note = """, ,""" } },"
{ 48320,", new TiffTagInfo {IdInteger =",48320,", IdString = """,ImageOffset,""", ShortDescription = ""","Specifies the byte offset pointer to the beginning of the photo data, relative to the beginning of the file.",""" , SourceOfTag = "" ","HD Photo Feature Spec, p. 22",""" , Note = """, ,""" } },"
{ 48321,", new TiffTagInfo {IdInteger =",48321,", IdString = """,ImageByteCount,""", ShortDescription = """,Specifies the size of the photo in bytes.,""" , SourceOfTag = "" ","HD Photo Feature Spec, p. 22",""" , Note = """, ,""" } },"
{ 48322,", new TiffTagInfo {IdInteger =",48322,", IdString = """,AlphaOffset,""", ShortDescription = ""","Specifies the byte offset pointer the beginning of the planar alpha channel data, relative to the beginning of the file.",""" , SourceOfTag = "" ","HD Photo Feature Spec, p. 22",""" , Note = """, ,""" } },"
{ 48323,", new TiffTagInfo {IdInteger =",48323,", IdString = """,AlphaByteCount,""", ShortDescription = """,Specifies the size of the alpha channel data in bytes.,""" , SourceOfTag = "" ","HD Photo Feature Spec, p. 23",""" , Note = """, ,""" } },"
{ 48324,", new TiffTagInfo {IdInteger =",48324,", IdString = """,ImageDataDiscard,""", ShortDescription = """,Signifies the level of data that has been discarded from the image as a result of a compressed domain transcode to reduce the file size.,""" , SourceOfTag = "" ","HD Photo Feature Spec, p. 25",""" , Note = """, ,""" } },"
{ 48325,", new TiffTagInfo {IdInteger =",48325,", IdString = """,AlphaDataDiscard,""", ShortDescription = """,Signifies the level of data that has been discarded from the planar alpha channel as a result of a compressed domain transcode to reduce the file size.,""" , SourceOfTag = "" ","HD Photo Feature Spec, p. 26",""" , Note = """, ,""" } },"
{ 48132,", new TiffTagInfo {IdInteger =",48132,", IdString = """,ImageType,""", ShortDescription = """,Specifies the image type of each individual frame in a multi-frame file.,""" , SourceOfTag = "" ","HD Photo Feature Spec, p. 27",""" , Note = """, ,""" } },"
{ 50215,", new TiffTagInfo {IdInteger =",50215,", IdString = """,Oce Scanjob Description,""", ShortDescription = """,Used in the Oce scanning process.,""" , SourceOfTag = "" ",Private,""" , Note = """, ,""" } },"
